System.twittermsg,1,bofa bofa_careers barclays basis,19:20
System.twittermsg,2,aetna  active trading ,19:20
System.twittermsg,3,wsg   balanced budget,19:20
System.twittermsg,4,barclays   access control list,19:20
System.twittermsg,5,atm fraud   avs,19:20
System.twittermsg,6,merrill   automatic rollover,19:20
System.twittermsg,7,fidelity    access control list,19:20
System.twittermsg,8,financial times   automatic savings plan,19:20
System.twittermsg,9,activity monitors,19:20
System.twittermsg,10,citi   atm fraud,19:20
System.twittermsg,11,business week   actuarial science,19:20
System.twittermsg,12,active trading   authentication   barclayscapital,19:20
System.twittermsg,13,hsbc   bin  backdoor,19:20
System.twittermsg,14,alternate beneficiary,19:20
System.twittermsg,15,amex     credit abuse,19:20
System.twittermsg,16,statefarm,19:20
System.twittermsg,17,business week     52-week range,19:20
System.twittermsg,18,amex,19:20
System.twittermsg,19,automatic savings plan,19:20
System.twittermsg,20,activity monitors,19:20
System.twittermsg,21,chase  counterfeit,19:20
System.twittermsg,22,fortune   basis,19:20
System.twittermsg,23,activity monitors,19:20
System.twittermsg,24,barclayscapital    active trading   credit abuse,19:20
System.twittermsg,25,automatic savings plan,19:20
System.twittermsg,26,activity monitors,19:20
System.twittermsg,27,barclays   authorization,19:20
System.twittermsg,28,music sports entertainment blah blah blah,19:20
System.twittermsg,29,td securities   broker fraud  authorization,19:20
System.twittermsg,30,automatic savings plan,19:20
System.twittermsg,31,business week    arm margin,19:20
System.twittermsg,32,allybank,19:20
System.twittermsg,33,nothing much is intended here,19:20
System.twittermsg,34,statefarm   annual exclusion,19:20
System.twittermsg,35,available funds,19:20
System.twittermsg,36,askciti   card-not-present,19:20
System.twittermsg,37,la la la la la la la,19:20
System.twittermsg,38,business week,19:20
System.twittermsg,39,societe generale   at limit   collusion,19:20
System.twittermsg,40,business week     52-week range,19:20
System.twittermsg,41,travelers,19:20
System.twittermsg,42,askciti  backtesting,19:20
System.twittermsg,43,authentication,19:20
System.twittermsg,44,automatic savings plan,19:20
System.twittermsg,45,authentication,19:20
System.twittermsg,46,bluecross   asymmetric cryptography,19:20
System.twittermsg,47,societe generale   at limit   collusion,19:20
System.twittermsg,48,bluecross,19:20
System.twittermsg,49,active trading   authentication   barclayscapital,19:20
System.twittermsg,50,authentication,19:20
